Team,Season,W,L,Points,Point%,OT Losses,Goals For,Goals Against,PP%,Penalty Kill%,Shots/Game,Shots Against/Game,Games Played,Minutes,Goals%,ExpectedGoals%,Shot Attempts,Unblocked Shot Attempts,Goals For,Goals Against,Goal Differential,Expected Goals For,Expected Goals Against,Expected Goal Differential,Goals for Above Expected,Goals Against Above Expected
ANA,2024-25,28,28,63,0.5,7,166,191,13,73.7,27.6,32,63,3117,0.4873,0.4386,0.4584,0.4587,115,121,-6,119.27,152.65,-33.38,-4.27,-31.65
BOS,2024-25,29,28,66,0.508,8,176,203,15,77,27.5,28.4,65,3188,0.4957,0.5021,0.4855,0.4813,116,118,-2,126.06,125.02,1.04,-10.06,-7.02
BUF,2024-25,25,32,56,0.444,6,197,219,16.6,76.8,27.7,29.1,63,3041,0.5143,0.4784,0.5045,0.5014,144,136,8,122.48,133.53,-11.05,21.52,2.47
CAR,2024-25,38,22,80,0.625,4,204,173,18.7,84.1,31.7,25,64,3108,0.5156,0.5609,0.5917,0.5819,132,124,8,158.41,124.03,34.38,-26.41,-0.03
CBJ,2024-25,31,24,70,0.556,8,210,207,20.6,75.3,28.6,29.9,63,3194,0.5336,0.4722,0.4725,0.48,151,132,19,129.31,144.53,-15.22,21.69,-12.53
CGY,2024-25,30,23,70,0.556,10,161,181,21.2,74.9,28.9,29.2,63,3109,0.4876,0.4778,0.5075,0.5065,98,103,-5,115.67,126.4,-10.73,-17.67,-23.4
CHI,2024-25,20,36,49,0.377,9,177,225,25,81.2,24.4,31.9,65,3269,0.4362,0.4277,0.437,0.4352,123,159,-36,112.1,150.03,-37.93,10.9,8.97
COL,2024-25,39,24,80,0.615,2,218,189,23.8,79.5,29.5,26.3,65,3199,0.5097,0.5279,0.54,0.5351,131,126,5,132.68,118.66,14.02,-1.68,7.34
DAL,2024-25,42,20,86,0.672,2,219,165,22.8,84.5,29.2,27.5,64,3144,0.5468,0.5143,0.5068,0.4973,146,121,25,141.2,133.34,7.86,4.8,-12.34
DET,2024-25,30,28,66,0.516,6,179,204,28.2,69.5,27.6,28.8,64,3238,0.4502,0.47,0.4822,0.4765,104,127,-23,123.55,139.3,-15.75,-19.55,-12.3
EDM,2024-25,37,23,78,0.609,4,207,188,26.6,75.2,32,27.3,64,3247,0.5019,0.5392,0.5371,0.5405,135,134,1,148.81,127.17,21.64,-13.81,6.83
FLA,2024-25,40,21,83,0.648,3,209,172,23.3,81,32,26.7,64,3123,0.5462,0.554,0.5545,0.5459,130,108,22,142.25,114.51,27.74,-12.25,-6.51
LAK,2024-25,33,20,75,0.605,9,176,165,15.4,80.9,28,25.6,62,3112,0.5574,0.5569,0.5327,0.5403,131,104,27,137.2,109.17,28.03,-6.2,-5.17
MIN,2024-25,36,24,76,0.594,4,177,183,20.1,69.9,27.6,29.7,64,3221,0.5112,0.4973,0.4761,0.4786,114,109,5,119.69,120.97,-1.28,-5.69,-11.97
MTL,2024-25,30,27,66,0.524,6,184,206,21.5,82.2,26,29,63,3072,0.4474,0.4702,0.4789,0.4765,119,147,-28,128.59,144.91,-16.32,-9.59,2.09
NJD,2024-25,34,25,74,0.569,6,192,164,28,82.5,28.8,26.4,65,3214,0.5195,0.5255,0.5124,0.5031,120,111,9,141.65,127.88,13.77,-21.65,-16.88
NSH,2024-25,24,32,55,0.437,7,166,209,20,81.1,29.9,29.1,63,3074,0.4198,0.5173,0.5121,0.5056,102,141,-39,134.04,125.08,8.96,-32.04,15.92
NYI,2024-25,29,27,65,0.516,7,171,187,12.6,70.3,29,28.7,63,3184,0.525,0.4905,0.4969,0.5025,126,114,12,130.04,135.09,-5.05,-4.04,-21.09
NYR,2024-25,31,27,68,0.531,6,194,197,19.2,83.1,29.1,30.3,64,3153,0.4891,0.4873,0.4862,0.4884,135,141,-6,137.3,144.47,-7.17,-2.3,-3.47
OTT,2024-25,33,25,71,0.563,5,179,178,23.3,77.3,29.7,28.6,63,3032,0.4562,0.4947,0.5041,0.5057,99,118,-19,117.83,120.34,-2.51,-18.83,-2.34
PHI,2024-25,27,30,62,0.477,8,182,216,15.2,77.9,27.3,27,65,3293,0.4601,0.5291,0.4792,0.4994,127,149,-22,139.65,124.31,15.34,-12.65,24.69
PIT,2024-25,25,31,60,0.455,10,186,237,24.2,78.9,28.7,30.1,66,3313,0.4281,0.4988,0.5125,0.5019,122,163,-41,144.4,145.07,-0.67,-22.4,17.93
SEA,2024-25,27,34,58,0.446,4,191,209,18,77.1,27.2,28.7,65,3242,0.4679,0.4548,0.481,0.4818,131,149,-18,118.15,141.61,-23.46,12.85,7.39
SJS,2024-25,17,39,43,0.331,9,170,241,20,74,27.2,31.9,65,3189,0.4212,0.4373,0.4537,0.453,115,158,-43,120.98,155.67,-34.69,-5.98,2.33
STL,2024-25,31,27,69,0.531,7,183,193,19.3,71.2,26.9,28,65,3322,0.5217,0.4979,0.4862,0.4858,132,121,11,125.92,126.99,-1.07,6.08,-5.99
TBL,2024-25,37,22,78,0.619,4,223,168,26.1,81,28.9,28.7,63,3141,0.5542,0.5057,0.4967,0.4945,138,111,27,131.61,128.63,2.98,6.39,-17.63
TOR,2024-25,39,22,81,0.633,3,205,189,24.6,79.1,28.4,29.3,64,3089,0.5331,0.4982,0.4853,0.4899,129,113,16,124.91,125.8,-0.89,4.09,-12.8
UTA,2024-25,28,25,67,0.523,11,181,188,23.5,80.6,28.4,28,64,3178,0.5105,0.525,0.5312,0.5325,121,116,5,139.36,126.09,13.27,-18.36,-10.09
VAN,2024-25,29,23,69,0.548,11,171,190,22.3,82.2,25.5,27,63,3043,0.4805,0.4919,0.4922,0.4882,111,120,-9,110.32,113.94,-3.62,0.68,6.06
VGK,2024-25,38,19,82,0.651,6,212,172,28.5,76.2,30.6,26.5,63,3270,0.5277,0.5245,0.5107,0.5186,143,128,15,148.66,134.76,13.9,-5.66,-6.76
WPJ,2024-25,44,17,92,0.708,4,227,151,31.6,79.6,28.5,27.8,65,3280,0.5895,0.5222,0.4972,0.5032,135,94,41,136.25,124.67,11.58,-1.25,-30.67
WSH,2024-25,42,14,92,0.719,8,231,164,23.5,82.1,27.5,27.2,64,3159,0.5785,0.5114,0.4996,0.5104,151,110,41,140.01,133.76,6.25,10.99,-23.76
